State,Date,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
Alaska,2020-01-26,"tests, testing, free, tested, tested for","china, iran, world, handling, created","gonna be, cancelled, 2020, will be, summer","buy, because of the, gonna, stock, masks","house, will be, ago, asked, mf","beer, cure, thought, americans, drinking","china, made, week, government, wuhan","virus, idiot, human, 19, test positive for","impact, states, panic, give, health","control, 2020, at this point, challenge, country"
Alaska,2020-01-27,"china, iran, world, handling, created","patient, quarantine, tested positive for, hospital, case","infection, be safe from, happening, to be racist, care about","trump, president, election, spreading, america","wash, clean, your hands, some people, hearing","virus, idiot, human, 19, test positive for","world, wash your hands, end, release, the end of","fears, due to, numbers, amid, hits","mask, masks, wearing, prevent, worried about","ppl, president, cuz, would be, eating"
Alaska,2020-01-28,"positive, case, confirmed, yesterday, cases","right now, coughing, to deal with, bs, worry about","virus, chinese, in china, spreading, started","mask, masks, wearing, prevent, worried about",", catching, afraid of, talking about, y'all","house, will be, ago, asked, mf","trending, pray, trumpvirus, coronvirus, cornoravirus","virus, how do you, pakistan, awareness, might have","deaths, cases, total, breaking, new cases of","going to, fight, going to be, this year, because of"
Alaska,2020-01-29,"positive, case, confirmed, yesterday, cases","sick, days, coming, give me, months","virus, chinese, in china, spreading, started","china, made, week, government, wuhan","flu, hysteria, rate, worried about the, symptoms","country, reported, guess, breaking, week","deaths, cases, total, breaking, new cases of","foxnews alert, breaking, death, state of emergency, australia","it's, i've, racist, hold, memes","test, risk, free, stand, police"
Alaska,2020-01-30,"due to the, at work, empty, bc of the, travel","safe, will be, because of, market, industry","virus, idiot, human, 19, test positive for","travel, scare, stupid, stuff, mad","sick, days, coming, give me, months","china, made, week, government, wuhan","virus, how do you, pakistan, awareness, might have","virus, chinese, in china, spreading, started","wash, clean, your hands, some people, hearing","country, in india, beat, biggest, india"
Alaska,2020-01-31,"it's, i've, racist, hold, memes","due to, italy, trip, washington, area","cases, update, infected, confirmed, increase","worldwide, ny, in this place, waiting for, russia","deaths, cases, total, breaking, new cases of","virus, how do you, pakistan, awareness, might have","immune to the, immune to, you are immune, ate, if you ever","government, plan, trump's, start, quarantine","infection, be safe from, happening, to be racist, care about","taking, caught, going around, thought, y'all"
Alaska,2020-02-01,"vaccine, there is no, report, free, funding","due to, italy, trip, washington, area","cases, update, infected, confirmed, increase","reduce your risk, let's, shake, common, trying to get","thing, stupid, drink, numbers, trump","because of, cancel, hygiene, economy, surely","news, heard, due to the, has been, plan","patient, quarantine, tested positive for, hospital, case","virus, chinese, in china, spreading, started","inform yourself about, be smart, avoid, fear of, coughs"
Alaska,2020-02-02,"due to, italy, trip, washington, area","flights, flight, because of, countries, air","china, iran, world, handling, created","because of, cancel, hygiene, economy, surely","gonna be, cancelled, 2020, will be, summer","inform yourself about, be smart, avoid, fear of, coughs","case of, case, confirmed, in my county, first case of","safe, will be, because of, market, industry","school, close, bc of, gonna, schools","going to, fight, going to be, this year, because of"
Alaska,2020-02-03,"travel, scare, stupid, stuff, mad","virus, to avoid, killing, fight, viruses","virus, idiot, human, 19, test positive for","stop, jokes, asians, cure, racism","flu, a little, thing, more than, influenza","going to, fight, going to be, this year, because of","thing, stupid, drink, numbers, trump","it's, give, thinking, gonna get, giving","die, catch, so far, at this point, die from the","person, lives, looks like, biden, boomers"
Alaska,2020-02-04,"years, have been, de, killed, i feel like","china, made, week, government, wuhan",", catching, afraid of, talking about, y'all","vaccine, there is no, report, free, funding","immune to the, immune to, you are immune, ate, if you ever","trump, pence, response, crisis, trump","made, disease, office, joke, ill","trending, pray, trumpvirus, coronvirus, cornoravirus","read, news, article, thread, cover","cases, county, case, usa, updates"
Alaska,2020-02-05,"buying, water, because of, paper, panic buying","it's, i've, racist, hold, memes","virus, how do you, pakistan, awareness, might have","due to the, at work, empty, bc of the, travel","cases, update, infected, confirmed, increase","panic, basically, response to, let's, city","trump, pence, response, crisis, trump","trump, president, election, spreading, america","beer, cure, thought, americans, drinking","bc, news, coming, what's, suddenly"
Alaska,2020-02-06,"face, touch, train, bc, your face","it's, give, thinking, gonna get, giving","foxnews alert, breaking, death, state of emergency, australia","years, have been, de, killed, i feel like","due to the, at work, empty, bc of the, travel","virus, idiot, human, 19, test positive for","trending, pray, trumpvirus, coronvirus, cornoravirus","give, alcohol, apparently, washing your hands, sanitizer","deaths, cases, total, breaking, new cases of","it's, i've, racist, hold, memes"
Alaska,2020-02-07,"test, risk, free, stand, police","cases, update, infected, confirmed, increase","due to the, at work, empty, bc of the, travel","reduce your risk, let's, shake, common, trying to get","face, touch, train, bc, your face","there's, person, test, isn't, ship","travel, scare, stupid, stuff, mad","stop, jokes, asians, cure, racism","deaths, cases, total, breaking, new cases of","sick, days, coming, give me, months"
Alaska,2020-02-08,"due to the, at work, empty, bc of the, travel","case of, case, confirmed, in my county, first case of","give, alcohol, apparently, washing your hands, sanitizer","ppl, president, cuz, would be, eating","hit, thing, economy, won't, bill","read, news, article, thread, cover","virus, to avoid, killing, fight, viruses","impact, states, panic, give, health","virus, how do you, pakistan, awareness, might have","beer, cure, thought, americans, drinking"
Alaska,2020-02-09,"virus, to avoid, killing, fight, viruses","going to, fight, going to be, this year, because of","control, 2020, at this point, challenge, country","face, touch, train, bc, your face","right now, coughing, to deal with, bs, worry about","deaths, cases, total, breaking, new cases of","die, catch, so far, at this point, die from the","hope, doesn't, spreading, stop, i really hope","going to, because of the, imagine, should be, hit","safe, will be, because of, market, industry"
Alaska,2020-02-10,"flu, a little, thing, more than, influenza","infection, be safe from, happening, to be racist, care about","hope, doesn't, spreading, stop, i really hope","news, heard, due to the, has been, plan","event, because of the, cancel, this year, events","virus, to avoid, killing, fight, viruses","face, touch, train, bc, your face","virus, how do you, pakistan, awareness, might have","travel, scare, stupid, stuff, mad","patients, hospital, doctors, nhs, live"
Alaska,2020-02-11,"mask, masks, wearing, prevent, worried about","die, catch, so far, at this point, die from the","school, close, bc of, gonna, schools","wash, clean, your hands, some people, hearing","news, heard, due to the, has been, plan","gonna, word, bring, tweets, town","patient, quarantine, tested positive for, hospital, case","advice, email, clear, positive for, latest","face, touch, train, bc, your face","flu, a little, thing, more than, influenza"
Alaska,2020-02-12,"beer, cure, thought, americans, drinking","due to the, at work, empty, bc of the, travel","case of, case, confirmed, in my county, first case of","it's, give, thinking, gonna get, giving","deaths, cases, total, breaking, new cases of","right now, coughing, to deal with, bs, worry about","safe, will be, because of, market, industry","stop, jokes, asians, cure, racism","thing, stupid, drink, numbers, trump","news, heard, due to the, has been, plan"
